rank,name,author,link,star,fork,language,issues,description,last_commit
1,neovim,neovim,https://github.com/neovim/neovim,85115,5803,Vim Script,1519,Vim-fork focused on extensibility and usability,2025-01-11T09:34:13Z
2,vim,vim,https://github.com/vim/vim,37158,5519,Vim Script,1462,The official Vim repository,2025-01-11T09:16:46Z
3,vim-plug,junegunn,https://github.com/junegunn/vim-plug,34406,1931,Vim Script,69,:hibiscus: Minimalist Vim Plugin Manager,2024-07-09T11:19:22Z
4,vimrc,amix,https://github.com/amix/vimrc,30926,7309,Vim Script,5,The ultimate Vim configuration (vimrc),2024-10-06T08:26:02Z
5,Vundle.vim,VundleVim,https://github.com/VundleVim/Vundle.vim,23956,2567,Vim Script,170,"Vundle, the plug-in manager for Vim",2024-07-30T05:53:03Z
6,SpaceVim,SpaceVim,https://github.com/SpaceVim/SpaceVim,20367,1416,Vim Script,15,A modular configuration of Vim and Neovim,2025-01-07T00:12:54Z
7,vim-fugitive,tpope,https://github.com/tpope/vim-fugitive,20238,1015,Vim Script,53,"fugitive.vim: A Git wrapper so awesome, it should be illegal",2024-12-29T07:30:49Z
8,nerdtree,preservim,https://github.com/preservim/nerdtree,19724,1442,Vim Script,18,A tree explorer plugin for vim.,2024-07-20T05:04:50Z
9,vim-airline,vim-airline,https://github.com/vim-airline/vim-airline,17832,1107,Vim Script,45,lean & mean status/tabline for vim that's light as air,2024-12-05T05:51:56Z
10,vim-galore,mhinz,https://github.com/mhinz/vim-galore,16999,610,Vim Script,3,:mortar_board: All things Vim!,2023-12-22T22:15:38Z
11,vim-go,fatih,https://github.com/fatih/vim-go,16056,1444,Vim Script,24,Go development plugin for Vim,2024-12-27T00:18:34Z
12,solarized,altercation,https://github.com/altercation/solarized,15841,3515,Vim Script,155,"precision color scheme for multiple applications (terminal, vim, etc.) with both dark/light modes",2024-07-11T19:57:30Z
13,spf13-vim,spf13,https://github.com/spf13/spf13-vim,15564,3619,Vim Script,311,The ultimate vim distribution,2023-11-04T13:49:54Z
14,gruvbox,morhetz,https://github.com/morhetz/gruvbox,14008,1108,Vim Script,122,Retro groove color scheme for Vim,2023-12-04T09:30:29Z
15,ale,dense-analysis,https://github.com/dense-analysis/ale,13619,1443,Vim Script,585,"Check syntax in Vim/Neovim asynchronously and fix files, with Language Server Protocol (LSP) support",2025-01-10T04:35:31Z
